Name	Age	Class	Ticket	Location	Job	Boat	Survived	Sex
ALLEN, Mr Henry	32	Engineering Crew		Southampton	Fireman	[145]	0	M
ALLEN, Mr Robert Spencer	36	Victualling Crew		Southampton	Bedroom Steward (1st Class)		0	M
ALLEN, Mr William Henry	38	3rd Class Passenger	373450 £8 1s	Southampton	Tool Maker		0	M
ALLISON, Master Hudson Trevor	0	1st Class Passenger	113781 £151 16s	Southampton		11	1	M
ALLISON, Miss Helen Loraine	2	1st Class Passenger	113781 £151 16s	Southampton			0	F
ALLISON, Mr Hudson Joshua Creighton	30	1st Class Passenger	113781 £151 16s	Southampton	Businessman	[135]	0	M
ALLISON, Mrs Bessie Waldo	25	1st Class Passenger	113781 £151 16s	Southampton			0	F
ALLSOP, Mr Alfred Samuel	35	Engineering Crew		Belfast	2nd Electrician		0	M
ALLSOP, Mr Frank Richard	41	Victualling Crew		Belfast	Saloon Steward		0	M
ALLUM, Mr Owen George	15	3rd Class Passenger	2223 £8 6s	Southampton	Gardener	[259]	0	M
ANDERSEN-JENSEN, Miss Carla Christine Nielsine	19	3rd Class Passenger	350046 £7 17s 1d	Southampton		16	1	F
ANDERSEN, Mr Albert Karvin	33	3rd Class Passenger	4001 £22 10s 6d	Southampton	Engineer	[260]	0	M
ANDERSON, Mr Harry	47	1st Class Passenger	19952 £26 11s	Southampton	Stockbroker	3	1	M
ANDERSON, Mr James	40	Deck Crew		Southampton	Able Seaman	3	1	M
ANDERSON, Mr Walter Yuill	48	Victualling Crew		Southampton	Bed Room Steward	[146]	0	M
ANDERSSON, Master Sigvard Harald Elias	4	3rd Class Passenger	347082 £31 5s 6d	Southampton			0	M
ANDERSSON, Miss Ebba Iris Alfrida	6	3rd Class Passenger	347082 £31 5s 6d	Southampton			0	F
ANDERSSON, Miss Ellis Anna Maria	2	3rd Class Passenger	347082 £31 5s 6d	Southampton			0	F
ANDERSSON, Miss Erna Alexandra	17	3rd Class Passenger	3101281 £7 18s 6d	Southampton		D	1	F
ANDERSSON, Miss Ida Augusta Margareta	38	3rd Class Passenger	347091 £7 15s 6d	Southampton			0	F
ANDERSSON, Miss Ingeborg Constanzia	9	3rd Class Passenger	347082 £31 5s 6d	Southampton			0	F
ANDERSSON, Miss Sigrid Elisabeth	11	3rd Class Passenger	347082 £31 5s 6d	Southampton			0	F
ANDERSSON, Mr Anders Johan	39	3rd Class Passenger	347082 £31 5s 6d	Southampton	General Labourer		0	M
ANDERSSON, Mr Johan Samuel	26	3rd Class Passenger	347075 £7 15s 6d	Southampton	General Labourer		0	M
ANDERSSON, Mrs Alfrida Konstantia Brogren	39	3rd Class Passenger	347082 £31 5s 6d	Southampton			0	F
ANDREASSON, Mr Pål Edvin	20	3rd Class Passenger	347466 £7 17s 1d	Southampton	General Labourer		0	M
ANDREW, Mr Edgar Samuel	17	2nd Class Passenger	231945 £11 10s	Southampton			0	M
ANDREW, Mr Frank Thomas	25	2nd Class Passenger	34050 £10 10s	Southampton	Miner		0	M
ANDREWS, Miss Kornelia Theodosia	62	1st Class Passenger	13502 £77 19s 2d	Cherbourg		10	1	F
ANDREWS, Mr Charles Edward	19	Victualling Crew		Southampton	Saloon Steward (2nd class)	16	1	M
ANDREWS, Mr Thomas	39	1st Class Passenger H&W Guarantee Group	112050	Belfast	Shipbuilder		0	M
ANGHELOFF, Mr Minko	26	3rd Class Passenger	349202 £7 17s 11d	Southampton	General Labourer		0	M
ANGLE, Mr William	32	2nd Class Passenger	226875 £26	Southampton	Tile Maker		0	M
ANGLE, Mrs Florence Agnes	36	2nd Class Passenger	226875 £26	Southampton		11	1	F
APPLETON, Mrs Charlotte	53	1st Class Passenger	11769 £51 9s 7d	Southampton		2	1	F
ARCHER, Mr Ernest Edward	35	Deck Crew		Southampton	Able Seaman	16	1	M
ARNOLD-FRANCHI, Mr Josef	25	3rd Class Passenger	349237 £17 16s	Southampton	General Labourer		0	M
ARNOLD-FRANCHI, Mrs Josefine	18	3rd Class Passenger	349237 £17 16s	Southampton			0	F
ARONSSON, Mr Ernst Axel Algot	24	3rd Class Passenger	349911 £7 15s 6d	Southampton	General Labourer		0	M
ARTAGAVEYTIA, Mr Ramon	71	1st Class Passenger	17609 £49 10s 1d	Cherbourg	Businessman	[22]	0	M
ASHBY, Mr John	57	2nd Class Passenger	244346 £13	Southampton			0	M
ASHCROFT, Mr Austin Aloysius	26	Victualling Crew		Southampton	Clerk		0	M
ASHE, Mr Henry Wellesley	41	Victualling Crew		Southampton	Glory hole steward (3rd class)	[34]	0	M
ASIM, Mr Adola	35	3rd Class Passenger	3101310 £7 1s	Southampton	General Labourer		0	M
ASPESLAGH, Mr Georges	26	Restaurant Staff		Southampton	Assistant Plateman		0	M
ASPLUND, Master Carl Edgar	5	3rd Class Passenger	347077 £31 7s 9d	Southampton			0	M
ASPLUND, Master Clarence Gustaf Hugo	9	3rd Class Passenger	347077 £31 7s 9d	Southampton			0	M
ASPLUND, Master Edvin Rojj Felix	3	3rd Class Passenger	347077 £31 7s 9d	Southampton		15	1	M
ASPLUND, Master Filip Oscar	13	3rd Class Passenger	347077 £31 7s 9d	Southampton			0	M
ASPLUND, Miss Lillian Gertrud	5	3rd Class Passenger	347077 £31 7s 9d	Southampton		15	1	F
ASPLUND, Mr Carl Oscar Vilhelm Gustafsson	40	3rd Class Passenger	347077 £31 7s 9d	Southampton	General Labourer	[142]	0	M
ASPLUND, Mr Johan Charles	23	3rd Class Passenger	350054 £7 15s 11d	Southampton		13	1	M
ASPLUND, Mrs Selma Augusta Emilia	38	3rd Class Passenger	347077 £31 7s 9d	Southampton		15	1	F
ASSAF, Mrs Mariana	45	3rd Class Passenger	2696 £7 4s 6d	Cherbourg		C	1	F
ASSAM, Mr Ali	23	3rd Class Passenger	3101309 £7 1s	Southampton	General Labourer		0	M
ASTOR, Colonel John Jacob	47	1st Class Passenger	17757 £247 10s 6d	Cherbourg	Property Developer / Real Estate	[124]	0	M
ASTOR, Mrs Madeleine Talmage	18	1st Class Passenger	17757 £247 10s 6d	Cherbourg		4	1	F
ATTALA, Mr Sleiman	27	3rd Class Passenger	2694 £7 4s 6d	Cherbourg	Journalist		0	M
ATTALAH, Miss Malake	17	3rd Class Passenger	2627 £14 9s 2d	Cherbourg			0	F
AUBART, Mme. Léontine Pauline	24	1st Class Passenger	17477 £69 6s	Cherbourg	Singer	9	1	M
AUGUSTSSON, Mr Albert	23	3rd Class Passenger	347468 £7 17s 1d	Southampton	General Labourer		0	M
AVERY, Mr James Albert	22	Engineering Crew		Southampton	Trimmer	15	1	M
AYLING, Mr Edwin George	22	Victualling Crew		Southampton	Assistant Vegetable Cook		0	M
AYOUB DAHER, Miss Banoura	15	3rd Class Passenger	2687 £7 4s 7d	Cherbourg		C	1	F
BACCOS, Mr Raffull	20	3rd Class Passenger	2679 £7 4s 6d	Cherbourg	Farm Labourer		0	M
BACK, Mr Charles Frederick	32	Victualling Crew		Belfast	Assistant Lounge Steward		0	M
BACKSTRöM, Mr Karl Alfred	32	3rd Class Passenger	3101278 £15 17s	Southampton	General Labourer		0	M
BACKSTRöM, Mrs Maria Mathilda	33	3rd Class Passenger	3101278 £15 17s	Southampton			1	F
BACLINI, Miss Eugenie	3	3rd Class Passenger	2666 £19 5s 2d	Cherbourg		C	1	F
BACLINI, Miss Helene Barbara	0	3rd Class Passenger	2666 £19 5s 2d	Cherbourg		C	1	F
BACLINI, Miss Marie Catherine	5	3rd Class Passenger	2666 £19 5s 2d	Cherbourg		C	1	F
BACLINI, Mrs Latifa	24	3rd Class Passenger	2666 £19 5s 2d	Cherbourg		C	1	F
BADMAN, Miss Emily Louisa	18	3rd Class Passenger	31416 £8 1s	Southampton	Servant	C	1	F
BADT, Mr Mohamed	40	3rd Class Passenger	2623 £7 4s 6d	Cherbourg	Farmer		0	M
BAGGOTT, Mr Allen Marden	28	Victualling Crew		Southampton	Saloon Steward	9	1	M
BAGLEY, Mr Edward Henry	33	Victualling Crew		Southampton	Saloon Steward		0	M
BAILEY, Mr George Francis	36	Victualling Crew		Belfast	Saloon Steward	[161]	0	M
BAILEY, Mr George Frank	46	Engineering Crew		Southampton	Fireman		0	M
BAILEY, Mr Henry Joseph	43	Deck Crew		Southampton	Master-at-arms	16	1	M
BAILEY, Mr Percy	15	2nd Class Passenger	29108 £11 10s	Southampton	Butcher's Assistant		0	M
BAINBRIGGE, Mr Charles Robert		2nd Class Passenger	31030 £10 10s	Southampton	Horse Trainer		0	M
BAINES, Mr Richard	24	Engineering Crew		Southampton	Greaser		0	M
BALKIC, Mr Cerin	26	3rd Class Passenger	349248 £7 17s 11d	Southampton	General Labourer		0	M
BALL, Mr Percy	19	Victualling Crew		Southampton	Plate Steward		1	M
BALLS, Mrs Ada E.	36	2nd Class Passenger	28551 £13	Southampton		10	1	F
BANFI, Sig. Ugo	24	Restaurant Staff		Southampton	Waiter		0	M
BANFIELD, Mr Frederick James		2nd Class Passenger	34068 £10 10s	Southampton	Miner		0	M
BANNON, Mr John Joseph	34	Engineering Crew		Southampton	Greaser		0	M
BANSKI, Mrs Mara	31	3rd Class Passenger	349244 £8 13s 8d	Southampton			1	F
BARBARA, Miss Saiide	18	3rd Class Passenger	2691 £14 9s 1d	Cherbourg	Housekeeper		0	F
BARBARA, Mrs Catherine David	45	3rd Class Passenger	2691 £14 9s 1d	Cherbourg	Housekeeper		0	F
BARBER, Miss Ellen Mary	26	1st Class Passenger Servant	19877 £78 17s	Southampton	Personal Maid	6	1	F
BARKER, Mr Albert Vale	19	Victualling Crew		Southampton	Baker		0	M
BARKER, Mr Ernest Thomas	40	Victualling Crew		Southampton	Saloon Steward (1st class)	[159]	0	M
BARKER, Mr Reginald Lomond	40	Victualling Crew		Belfast	Second Purser, 1st Class		0	M
BARKWORTH, Mr Algernon Henry	47	1st Class Passenger	27042 £30	Southampton	Justice of the Peace	B	1	M
BARLOW, Mr Charles	30	Engineering Crew		Southampton	Fireman		0	M
BARLOW, Mr George	36	Victualling Crew		Southampton	Bed Room Steward		0	M
BARNES, Mr Charles	29	Engineering Crew		Southampton	Fireman		0	M
BARNES, Mr Frederick Charles	39	Victualling Crew		Southampton	Assistant baker		0	M
BARNES, Mr John	41	Engineering Crew		Southampton	Fireman		0	M
BARRATT, Mr Arthur	15	Victualling Crew		Southampton	Bell Boy		0	M
BARRETT, Mr Frederick	28	Engineering Crew		Southampton	Leading Fireman	13	1	M
BARRETT, Mr Frederick William	33	Engineering Crew		Southampton	Fireman		0	M
BARRINGER, Mr Arthur William	33	Victualling Crew		Belfast	Saloon Steward (1st class)		0	M
BARROW, Mr Charles Henry John Barrow	35	Victualling Crew		Southampton	Assistant butcher		0	M
BARROWS, Mr William	32	Victualling Crew		Southampton	Saloon Steward		0	M
BARRY, Miss Julia	26	3rd Class Passenger	330844 £7 17s 7d	Queenstown	Housekeeper		0	F
BARTON, Mr David John	22	3rd Class Passenger	324669 £8 1s	Southampton	General Labourer		0	M
BARTON, Mr Sidney John	26	Victualling Crew		Southampton	3rd Class Steward		0	M
BASILICO, Sig. Giovanni	27	Restaurant Staff		Southampton	Waiter		0	M
BASSANI, Mrs Albina	32	1st Class Passenger Servant	11813 £76 5s 10d	Cherbourg	Personal Maid	8	1	F
BATEMAN, Revd Robert James	51	2nd Class Passenger	1166 £12 10s 6d	Southampton	Priest / Minister	[174]	0	M
BATOSHEV, Mr Hristo Lalev	23	3rd Class Passenger	349217 £7 17s 11d	Southampton	General Labourer		0	M
BAUMANN, Mr John D.	60	1st Class Passenger	17318 £25 18s 6d	Cherbourg	Businessman		0	M
BAXTER, Mr Harry Ross	53	Victualling Crew		Southampton	3rd Class Steward		0	M
BAXTER, Mr Quigg Edmond	24	1st Class Passenger	17558 £247 10s 5d	Cherbourg			0	M
BAXTER, Mr Thomas Ferguson	55	Victualling Crew		Southampton	Linen Steward (1st class)	[235]	0	M
BAXTER, Mrs Hélène	50	1st Class Passenger	17558 £247 10s 5d	Cherbourg		6	1	F
BAZZI, Sig. Narciso	33	Restaurant Staff		Southampton	Waiter		0	M
BEANE, Mr Edward	32	2nd Class Passenger	2908 £26	Southampton		13	1	M
BEANE, Mrs Ethel		2nd Class Passenger	2908 £26	Southampton		13	1	F
BEATTIE, Mr Joseph	35	Engineering Crew		Belfast	Greaser		0	M
BEATTIE, Mr Thomson	36	1st Class Passenger	13050 £75 4s 10d	Southampton	Landowner	A[331]	0	M
BEAUCHAMP, Mr George William	24	Engineering Crew		Southampton	Fireman	13	1	M
BEAUCHAMP, Mr Henry James	28	2nd Class Passenger	244358 £26	Southampton	Club Head Steward		0	M
BEAVAN, Mr William Thomas		3rd Class Passenger	323951 £8 1s	Southampton	General Labourer		0	M
BECKER, Master Richard F.	1	2nd Class Passenger	230136 £39	Southampton		11	1	M
BECKER, Miss Marion Louise	4	2nd Class Passenger	230136 £39	Southampton		11	1	F
BECKER, Miss Ruth Elizabeth	12	2nd Class Passenger	230136 £39	Southampton		13	1	F
BECKER, Mrs Nellie E.	35	2nd Class Passenger	230136 £39	Southampton		11	1	F
BECKWITH, Mr Richard Leonard	37	1st Class Passenger	11751 £52 11s 1d	Southampton		5	1	M
BECKWITH, Mrs Sallie	46	1st Class Passenger	11751 £52 11s 1d	Southampton		5	1	F
BEDFORD, Mr William Barnett	31	Victualling Crew		Southampton	Assistant Roast Cook		0	M
BEEDEM, Mr George Arthur	34	Victualling Crew		Southampton	2nd Class Bedroom Steward		0	M
BEERE, Mr William	19	Victualling Crew		Southampton	Kitchen Porter		0	M
BEESLEY, Mr Lawrence	34	2nd Class Passenger	248698 £13	Southampton	Teacher	13	1	M
BEHR, Mr Karl Howell	26	1st Class Passenger	111369 £30	Cherbourg		5	1	M
BELL, Mr Joseph	50	Engineering Crew		Belfast	Chief Engineer		0	M
BENDELL, Mr Frank	24	Engineering Crew		Southampton	Fireman		0	M
BENGTSSON, Mr Johan Viktor	26	3rd Class Passenger	347068 £7 15s 6d	Southampton	General Labourer		0	M
BENHAM, Mr Fred John	29	Victualling Crew		Southampton	Saloon Steward (2nd class)		0	M
BENNETT, Mr George Alfred	30	Engineering Crew		Southampton	Fireman		0	M
BENNETT, Mrs Mabel	33	Victualling Crew		Southampton	Stewardess		1	F
BENTHAM, Miss Lillian W.		2nd Class Passenger	28404 £13	Southampton		12	1	F
BENVILLE, Mr Edward	47	Engineering Crew		Southampton	Fireman		0	M
BERGLUND, Mr Karl Ivar Sven	22	3rd Class Passenger	4348 £9 7s	Southampton	General Labourer		0	M
BERNARDI, Sig. Battista	22	Restaurant Staff		Southampton	Assistant Waiter	[215]	0	M
BERRIMAN, Mr William John	23	2nd Class Passenger	28425 £13	Southampton			0	M
BESSANT, Mr Edward	31	Victualling Crew		Southampton	1st class baggage steward		0	M
BESSANT, Mr William Edward Lowe	39	Engineering Crew		Southampton	Fireman		0	M
BESSETTE, Miss Nellie Mayo	39	1st Class Passenger Servant	17760 £63 7s 2d	Cherbourg	Personal Maid	8	1	F
BEST, Mr Edwin Alfred	38	Victualling Crew		Belfast	Saloon Steward (1st class)		0	M
BEUX, Mr David	26	Restaurant Staff		Southampton	Assistant Waiter		0	M
BEVIS, Mr Joseph Henry	22	Engineering Crew		Southampton	Trimmer		0	M
BIDDLECOMBE, Mr Reginald Charles	31	Engineering Crew		Southampton	Fireman		0	M
BIDOIS, Miss Rosalie	46	1st Class Passenger Servant	17757 £247 10s 6d	Cherbourg	Personal Maid	4	1	F
BIETRIX, Mr George Baptiste	28	Restaurant Staff		Southampton	Cook		0	M
BIGGS, Mr Edward Charles	20	Engineering Crew		Southampton	Fireman		0	M
BILLOWS, Mr James	20	Engineering Crew		Southampton	Trimmer		0	M
BING, Mr Lee	32	3rd Class Passenger	1601 £56 9s 11d	Southampton	Seaman	C	1	M
BINSTEAD, Mr Walter William	20	Engineering Crew		Southampton	Trimmer	3	1	M
BIRD, Miss Ellen	31	1st Class Passenger Servant	17483 £221 15s 7d	Southampton	Personal Maid	8	1	F
BIRKELAND, Mr Hans Martin Monsen	21	3rd Class Passenger	312992 £7 15s 6d	Southampton	Seaman		0	M
BIRNBAUM, Mr Jakob	24	1st Class Passenger	13905 £26	Cherbourg		[148]	0	M
BISHOP, Mr Dickinson H.	25	1st Class Passenger	11967 £91 1s 7d	Cherbourg		7	1	M
BISHOP, Mr Walter Alexander	33	Victualling Crew		Belfast	1st Class Bedroom Steward		0	M
BISHOP, Mrs Helen	19	1st Class Passenger	11967 £91 1s 7d	Cherbourg		7	1	F
BJöRKLUND, Mr Ernst Herbert	18	3rd Class Passenger	347090 £7 15s	Southampton	General Labourer		0	M
BJöRNSTRöM-STEFFANSSON, Mr Mauritz Hokan	28	1st Class Passenger	110564 £26 11s	Southampton	Businessman	D	1	M
BLACK, Mr Alexander	28	Engineering Crew		Southampton	Fireman		0	M
BLACK, Mr D.	41	Engineering Crew		Southampton	Fireman		0	M
BLACKMAN, Mr Albert Edward	23	Engineering Crew		Southampton	Fireman		0	M
BLACKWELL, Mr Stephen Weart	45	1st Class Passenger	113784 £35 10s	Southampton			0	M
BLAKE, Mr Percival Albert	22	Engineering Crew		Southampton	Trimmer	15	1	M
BLAKE, Mr Seaton	26	Engineering Crew		Belfast	Mess Steward		0	M
BLAKE, Mr Thomas Henry	36	Engineering Crew		Southampton	Fireman		0	M
BLANEY, Mr James	32	Engineering Crew		Southampton	Fireman		0	M
BLANK, Mr Henry	39	1st Class Passenger	112277 £31	Cherbourg	Jeweller	7	1	M
BLANN, Mr Eustace Horatius	21	Engineering Crew		Southampton	Fireman		0	M
BLISS, Mrs Emma	45	Victualling Crew		Southampton	Stewardess	15	1	F
BLUMET, Mr Jean Baptiste	26	Restaurant Staff		Southampton	Pantryman		0	M
BOCHATAY, Mr Alexis Joseph	30	Victualling Crew		Southampton	Chef		0	M
BOCHET, Mr Pierre Giuseppe		Restaurant Staff		Southampton	Waiter		0	M
BOGIE, Mr Norman Leslie	59	Victualling Crew		Southampton	2nd Class Bedroom Steward	[274]	0	M
BOLHUIS, Mr Hendrik	27	Restaurant Staff		Southampton	Larder Cook		0	M
BOND, Mr William John	40	Victualling Crew		Belfast	Bed Room Steward		0	M
BONNELL, Miss Caroline	30	1st Class Passenger	36928 £164 17s 4d	Southampton		8	1	F
BONNELL, Miss Elizabeth	61	1st Class Passenger	113783 £26 11s	Southampton		8	1	F
BOOTHBY, Mr Walter Thomas	37	Victualling Crew		Southampton	2nd Class Bedroom Steward	[107]	0	M
BOREBANK, Mr John James	42	1st Class Passenger	110489 £26 11s	Southampton	Property Developer / Real Estate		0	M
BOSTANDYEFF, Mr Guentcho	26	3rd Class Passenger	349224 £7 17s 11d	Southampton	General Labourer		0	M
BOSTON, Mr William John	31	Victualling Crew		Belfast	Assistant Deck Steward (1st Class)		0	M
BOTSFORD, Mr William Hull	25	2nd Class Passenger	237670 £13	Southampton			0	M
BOTT, Mr William Thomas	44	Engineering Crew		Southampton	Greaser		0	M
BOUGHTON, Mr Bernard John	24	Victualling Crew		Southampton	First class saloon steward		0	M
BOULOS, Master Akar	9	3rd Class Passenger	2678 £15 4s 11d	Cherbourg			0	M
BOULOS, Miss Nourelain	7	3rd Class Passenger	2678 £15 4s 11d	Cherbourg			0	F
BOULOS, Mrs Sultana	40	3rd Class Passenger	2678 £15 4s 11d	Cherbourg			0	F
BOURKE, Miss Mary	40	3rd Class Passenger	364848 £7 15s	Queenstown			0	F
BOURKE, Mr John	42	3rd Class Passenger	364849 £15 10s	Queenstown	Farmer		0	M
BOURKE, Mrs Catherine	32	3rd Class Passenger	364849 £15 10s	Queenstown	Housewife		0	F
BOWEN, Miss Grace Scott	45	1st Class Passenger Servant	17608 £262 7s 6d	Cherbourg	Governess	4	1	F
BOWEN, Mr David John 'Dai'	26	3rd Class Passenger	54636 £16 2s	Southampton	Pugilist		0	M
BOWENUR, Mr Solomon	42	2nd Class Passenger	211535 £13	Southampton	Merchant		0	M
BOWERMAN, Miss Elsie Edith	22	1st Class Passenger	113505 £55	Southampton		6	1	F
BOWKER, Miss Ruth Harwood	31	Restaurant Staff		Southampton	Cashier	6	1	F
BOXHALL, Mr Joseph Groves	28	Deck Crew Titanic Officers		Belfast	4th. Officer	2	1	M
BOYD, Mr John	36	Victualling Crew		Southampton	Saloon Steward (1st class)		0	M
BOYES, Mr John Henry	36	Victualling Crew		Belfast	Saloon Steward (1st class)		0	M
BRACKEN, Mr James Hollen	29	2nd Class Passenger	220367 £13	Southampton	Stockman		0	M
BRADLEY, Miss Bridget Delia	22	3rd Class Passenger	334914 £7 14s 6d	Queenstown		13	1	F
BRADLEY, Mr Patrick Joseph	39	Engineering Crew		Southampton	Fireman		0	M
BRADLEY, Mr T.	29	Deck Crew		Southampton	Able Seaman		0	M
BRADSHAW, Mr John Albert Perkin	43	Victualling Crew		Southampton	Plate Steward (1st Class)		0	M
BRADY, Mr John Bertram	41	1st Class Passenger	113054 £30 10s	Southampton			0	M
BRAF, Miss Elin Ester Maria	20	3rd Class Passenger	347471 £7 17s 1d	Southampton	Servant		0	F
BRAILEY, Mr William Theodore Ronald	24	2nd Class Passenger Musician	250654	Southampton	Musician		0	M
BRANDEIS, Mr Emil	48	1st Class Passenger	17591 £50 9s 11d	Cherbourg		[208]	0	M
BRAUND, Mr Lewis Richard	29	3rd Class Passenger	3460 £7 11d	Southampton	Farm Labourer		0	M
BRAUND, Mr Owen Harris	22	3rd Class Passenger	21171 £7 5s	Southampton	Ironmonger		0	M
BRERETON, Mr George Andrew	37	1st Class Passenger	111427 £26 11s	Southampton		9	1	M
BREWE, Dr Arthur Jackson	45	1st Class Passenger	112379 £39 12s	Cherbourg			0	M
BREWER, Mr Harry	30	Engineering Crew		Southampton	Trimmer		0	M
BREWSTER, Mr George Henry	48	Victualling Crew		Belfast	Bedroom Steward (1st Class)		0	M
BRIANT, Mr Albert	34	Engineering Crew		Southampton	Greaser		0	M
BRICE, Mr Walter Thomas	42	Deck Crew		Southampton	Able Seaman	11	1	M
BRICOUX, Mr Roger Marie	20	2nd Class Passenger Musician	250654	Southampton	Musician		0	M
BRIDE, Mr Harold Sydney	22	Victualling Crew		Belfast	Assistant Telegraphist	B	1	M
BRIGHT, Mr Arthur John	42	Deck Crew		Belfast	Quartermaster	D	1	M
BRISTOW, Mr Harry	33	Victualling Crew		Southampton	Saloon Steward		0	M
BRISTOW, Mr Robert Charles	31	Victualling Crew		Southampton	3rd Class Steward	[290]	0	M
BRITO, Mr José Joaquim de	32	2nd Class Passenger	244360 £13	Southampton			0	M
BROBäCK, Mr Karl Rudolf	22	3rd Class Passenger	350045 £7 15s 11d	Southampton	Decorator		0	M
BROCKLEBANK, Mr William Alfred	35	3rd Class Passenger	364512 £8 1s	Southampton	Groom		0	M
BROOKMAN, Mr John Cress	27	Victualling Crew		Southampton	3rd Class Steward		0	M
BROOKS, Mr J.	25	Engineering Crew		Southampton	Trimmer		0	M
BROOM, Mr Herbert George	33	Victualling Crew		Belfast	Bath Steward		0	M
BROOME, Mr Athol Frederick	30	Victualling Crew		Southampton	Verandah Steward (1st Class)		0	M
BROWN, Miss Amelia Mary	18	2nd Class Passenger Servant	248733 £13	Southampton	Cook (Personal)	11	1	F
BROWN, Miss Edith Eileen	15	2nd Class Passenger	29750 £39	Southampton	Scholar	14	1	F
BROWN, Mr Edward	34	Victualling Crew		Belfast	Saloon Steward		1	M
BROWN, Mr John	25	Engineering Crew		Southampton	Fireman	[267]	0	M
BROWN, Mr Joseph James	25	Engineering Crew		Southampton	Fireman		0	M
BROWN, Mr Thomas William Solomon	60	2nd Class Passenger	29750 £39	Southampton	Hotelier		0	M
BROWN, Mr Walter James	40	Victualling Crew		Belfast	Saloon Steward (1st class)		0	M
BROWN, Mrs Caroline Lane	59	1st Class Passenger	11769 £51 9s 7d	Southampton		D	1	F
BROWN, Mrs Elizabeth Catherine	40	2nd Class Passenger	29750 £39	Southampton		14	1	F
BROWN, Mrs Margaret	44	1st Class Passenger	17610 £27 14s 5d	Cherbourg		6	1	F
BRYHL, Miss Dagmar Jenny Ingeborg	20	2nd Class Passenger	236853 £26	Southampton		12	1	F
BRYHL, Mr Kurt Arnold Gottfrid	25	2nd Class Passenger	236853 £26	Southampton			0	M
BUCKLEY, Miss Katherine	22	3rd Class Passenger	329944 £7 5s 8d	Queenstown		[299]	0	F
BUCKLEY, Mr Daniel	21	3rd Class Passenger	330920 £7 15s 17d	Queenstown	Farm Labourer	13	1	M
BUCKLEY, Mr H. E.	34	Victualling Crew		Southampton	Assistant Vegetable Cook		0	M
